City ID,City Name,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
5880568,bethel,60.79,-161.76,64.4,64.4,68,75,11.41
2012780,zabaykalsk,49.64,117.33,63.95,63.95,82,24,4.41
2267254,lagoa,37.14,-8.45,77.0,77.0,69,0,3.36
3576994,cockburn town,21.46,-71.14,81.14,81.14,100,68,21.3
6089245,norman wells,65.28,-126.83,64.4,64.4,72,90,6.93
1861280,itoman,26.12,127.67,84.2,84.2,79,1,4.7
3453439,ponta do sol,-20.63,-46.0,63.23,63.23,86,20,6.2
6096551,pangnirtung,66.15,-65.72,44.51,44.51,90,8,3.06
3359638,walvis bay,-22.95,14.51,54.41,54.41,100,0,11.68
2069194,jamestown,-33.21,138.6,54.23,54.23,45,0,19.84
3175445,isernia,41.6,14.24,71.6,71.6,88,0,2.24
3356832,henties bay,-22.12,14.28,50.36,50.36,100,0,6.98
2121385,severo-kurilsk,50.68,156.12,54.77,54.77,93,8,4.63
4501427,port elizabeth,39.31,-74.98,82.13,84.2,78,1,5.75
1512019,aksarka,66.56,67.8,43.52,43.52,77,92,7.31
2208248,kaitangata,-46.28,169.85,44.06,44.06,92,68,4.18
5961417,husavik,50.56,-96.99,78.17,78.17,72,36,8.77
3366880,hermanus,-34.42,19.24,46.85,46.85,100,44,2.73
3026644,souillac,45.6,-0.6,78.62,80.6,47,0,5.82
611274,ureki,42.0,41.78,70.65,71.6,83,0,11.41
2110227,butaritari,3.07,172.79,83.3,83.3,100,24,6.08
4030556,rikitea,-23.12,-134.97,74.21,74.21,100,92,12.12
3833367,ushuaia,-54.81,-68.31,35.6,35.6,80,40,32.21
525426,sobolevo,54.43,31.9,63.23,63.23,85,0,2.84
325336,adilcevaz,38.8,42.73,71.6,71.6,35,0,9.17
2034615,tahe,52.34,124.71,64.58,64.58,74,48,3.4
1273574,vaini,15.34,74.49,68.09,68.09,99,92,6.53
6148373,sioux lookout,50.1,-91.92,67.77,69.8,77,90,9.17
3421719,narsaq,60.91,-46.05,46.4,46.4,81,92,5.82
1507390,dikson,73.51,80.55,44.33,44.33,92,24,11.79
3440777,rocha,-34.48,-54.34,50.45,50.45,95,48,10.45
3388456,sao jose da coroa grande,-8.9,-35.15,70.88,70.88,96,64,4.97
5106834,albany,42.65,-73.75,71.6,75.2,78,40,5.82
3466165,cidreira,-30.17,-50.22,56.75,56.75,92,20,14.58
3448207,sao sepe,-30.16,-53.57,53.6,53.6,71,20,5.82
2189343,kaeo,-35.1,173.78,57.83,57.83,75,0,11.56
4034551,faanui,-16.48,-151.75,79.61,79.61,100,36,16.82
1861084,izumo,35.37,132.75,84.97,86.0,58,40,11.41
6201424,mataura,-46.19,168.86,45.14,45.14,82,36,4.29
2381334,atar,20.52,-13.05,81.23,81.23,30,36,4.97
2175403,bluff,-23.58,149.07,68.63,68.63,73,0,6.76
6355222,yulara,-25.24,130.99,57.2,57.2,47,0,8.05
3465713,conde,-11.81,-37.61,72.59,72.59,94,24,7.2
4020109,atuona,-9.8,-139.03,79.34,79.34,100,24,18.95
3412093,vestmannaeyjar,63.44,-20.27,49.37,49.37,97,76,6.2
934322,mahebourg,-20.41,57.7,71.6,71.6,68,40,9.17
235826,zemio,5.02,25.13,69.98,69.98,90,12,1.83
3932145,pisco,-13.71,-76.2,60.8,60.8,87,0,19.46
3863379,mar del plata,-46.43,-67.52,53.6,53.6,50,56,11.79
3836620,san ramon de la nueva oran,-23.13,-64.33,54.23,54.23,62,76,4.18
2022572,khatanga,71.98,102.47,46.4,46.4,97,92,25.88
2155415,new norfolk,-42.78,147.06,57.2,57.2,62,75,10.29
3874787,punta arenas,-53.16,-70.91,32.0,32.0,99,0,16.11
546105,nikolskoye,59.7,30.79,68.0,68.0,72,20,4.47
3671497,puerto colombia,10.99,-74.96,80.6,80.6,94,40,13.87
3573374,the valley,18.22,-63.06,81.3,82.4,78,20,12.75
240210,birao,10.3,22.78,69.35,69.35,97,88,5.08
5847411,kahului,20.89,-156.47,82.9,86.0,62,40,23.04
2092164,lorengau,-2.02,147.27,77.54,77.54,100,88,5.53
7671223,kloulklubed,7.04,134.26,80.6,80.6,83,90,6.93
6533368,moranbah,-22.0,148.04,67.46,67.46,76,0,8.21
587876,soe,57.91,26.05,64.4,64.4,88,32,8.05
